# Simulation 3 (Up to date)
# 389 data points written for 2 variables.
#
# Time (s),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.625
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.57
0.03,0.537
0.04,0.516
0.049,0.511
0.057,0.512
0.063,0.512
0.069,0.512
0.074,0.512
0.079,0.512
0.084,0.512
# Event LAUNCHROD occurred at t=0.088 seconds
0.088,0.512
0.095,0.512
0.105,0.512
0.119,0.512
0.141,0.513
0.174,0.514
0.224,0.515
0.274,0.517
0.324,0.519
0.374,0.522
0.424,0.525
0.451,0.527
0.474,0.528
0.497,0.53
0.524,0.532
0.565,0.535
0.615,0.539
0.634,0.54
0.651,0.542
0.669,0.543
0.695,0.545
0.736,0.549
0.755,0.551
0.771,0.552
0.789,0.554
0.815,0.556
0.854,0.559
0.873,0.561
0.891,0.563
0.916,0.565
0.954,0.568
0.978,0.57
1.001,0.571
1.035,0.573
1.065,0.575
1.09,0.575
1.128,0.575
1.158,0.574
# Event BURNOUT occurred at t=1.169 seconds
1.169,0.573
1.186,0.572
1.211,0.571
1.249,0.569
1.293,0.567
1.343,0.565
1.385,0.563
1.435,0.561
1.485,0.559
1.535,0.557
1.585,0.556
1.635,0.554
1.685,0.552
1.735,0.551
1.785,0.55
1.835,0.548
1.885,0.547
1.935,0.546
1.985,0.545
2.035,0.544
2.085,0.543
2.135,0.542
2.185,0.541
2.235,0.54
2.285,0.539
2.335,0.538
2.385,0.537
2.435,0.537
2.485,0.536
2.535,0.535
2.585,0.534
2.635,0.534
2.685,0.533
2.735,0.533
2.785,0.532
2.835,0.531
2.885,0.531
2.935,0.53
2.985,0.53
3.035,0.529
3.085,0.529
3.135,0.528
3.185,0.528
3.235,0.528
3.285,0.527
3.335,0.527
3.385,0.526
3.435,0.526
3.485,0.526
3.535,0.525
3.585,0.525
3.635,0.525
3.685,0.524
3.735,0.524
3.785,0.524
3.835,0.523
3.885,0.523
3.935,0.523
3.985,0.522
4.035,0.522
4.085,0.522
4.135,0.522
4.185,0.521
4.235,0.521
4.285,0.521
4.335,0.521
4.385,0.52
4.435,0.52
4.485,0.52
4.535,0.52
4.585,0.52
4.635,0.519
4.685,0.519
4.735,0.519
4.785,0.519
4.835,0.519
4.885,0.519
4.935,0.518
4.985,0.518
5.035,0.518
5.085,0.518
5.135,0.518
5.185,0.518
5.235,0.517
5.285,0.517
5.335,0.517
5.385,0.517
5.435,0.517
5.485,0.517
5.535,0.517
5.585,0.517
5.635,0.516
5.685,0.516
5.735,0.516
5.785,0.516
5.835,0.516
5.885,0.516
5.935,0.516
5.985,0.516
6.035,0.515
6.085,0.515
6.135,0.515
6.185,0.515
6.235,0.515
6.285,0.515
6.335,0.515
6.385,0.515
6.435,0.515
6.485,0.515
6.535,0.515
6.585,0.514
6.635,0.514
6.685,0.514
6.735,0.514
6.785,0.514
6.835,0.514
6.885,0.514
6.935,0.514
6.985,0.514
7.035,0.514
7.085,0.514
7.135,0.514
7.185,0.514
7.235,0.514
7.285,0.513
7.335,0.513
7.385,0.513
7.435,0.513
7.485,0.513
7.535,0.513
7.585,0.513
7.635,0.513
7.685,0.513
7.735,0.513
7.785,0.513
7.835,0.513
7.885,0.513
7.935,0.513
7.985,0.513
8.035,0.513
8.085,0.513
8.135,0.513
8.185,0.513
8.235,0.513
8.285,0.512
8.335,0.512
8.385,0.512
8.435,0.512
8.485,0.512
8.535,0.512
8.585,0.512
8.635,0.512
8.685,0.512
8.735,0.512
8.785,0.512
8.835,0.512
8.885,0.512
8.935,0.512
8.985,0.512
9.035,0.512
9.085,0.512
9.135,0.512
9.185,0.512
9.235,0.512
9.285,0.512
9.335,0.512
9.385,0.512
9.435,0.512
9.485,0.512
9.535,0.512
9.585,0.512
9.635,0.512
9.685,0.512
9.735,0.512
9.785,0.512
9.835,0.512
9.885,0.512
9.935,0.512
9.985,0.512
10.035,0.512
10.085,0.512
10.135,0.511
10.185,0.511
10.235,0.511
10.285,0.512
10.335,0.514
10.385,0.517
10.435,0.52
10.485,0.523
10.535,0.527
10.585,0.53
10.635,0.533
10.685,0.537
10.735,0.541
10.785,0.545
10.835,0.55
10.885,0.555
10.935,0.561
10.985,0.567
11.035,0.573
11.085,0.58
11.135,0.586
# Event EJECTION_CHARGE occurred at t=11.169 seconds
11.169,0.59
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=11.17 seconds
11.172,0.591
11.173,NaN
# Event APOGEE occurred at t=11.417 seconds
11.417,NaN
11.774,NaN
12.274,NaN
12.521,NaN
12.711,NaN
12.908,NaN
13.113,NaN
13.349,NaN
13.614,NaN
13.953,NaN
14.418,NaN
14.918,NaN
15.418,NaN
15.918,NaN
16.418,NaN
16.918,NaN
17.418,NaN
17.918,NaN
18.418,NaN
18.918,NaN
19.418,NaN
19.918,NaN
20.418,NaN
20.918,NaN
21.418,NaN
21.918,NaN
22.418,NaN
22.918,NaN
23.418,NaN
23.918,NaN
24.418,NaN
24.918,NaN
25.418,NaN
25.918,NaN
26.418,NaN
26.918,NaN
27.418,NaN
27.918,NaN
28.418,NaN
28.918,NaN
29.418,NaN
29.918,NaN
30.418,NaN
30.918,NaN
31.418,NaN
31.918,NaN
32.418,NaN
32.918,NaN
33.418,NaN
33.918,NaN
34.418,NaN
34.918,NaN
35.418,NaN
35.918,NaN
36.418,NaN
36.918,NaN
37.418,NaN
37.918,NaN
38.418,NaN
38.918,NaN
39.418,NaN
39.918,NaN
40.418,NaN
40.918,NaN
41.418,NaN
41.918,NaN
42.418,NaN
42.918,NaN
43.418,NaN
43.918,NaN
44.418,NaN
44.918,NaN
45.418,NaN
45.918,NaN
46.418,NaN
46.918,NaN
47.418,NaN
47.918,NaN
48.418,NaN
48.918,NaN
49.418,NaN
49.918,NaN
50.418,NaN
50.918,NaN
51.418,NaN
51.918,NaN
52.418,NaN
52.918,NaN
53.418,NaN
53.918,NaN
54.418,NaN
54.918,NaN
55.418,NaN
55.918,NaN
56.418,NaN
56.918,NaN
57.418,NaN
57.918,NaN
58.418,NaN
58.918,NaN
59.418,NaN
59.918,NaN
60.418,NaN
60.918,NaN
61.418,NaN
61.918,NaN
62.418,NaN
62.918,NaN
63.418,NaN
63.918,NaN
64.418,NaN
64.918,NaN
65.418,NaN
65.918,NaN
66.418,NaN
66.918,NaN
67.418,NaN
67.918,NaN
68.418,NaN
68.918,NaN
69.418,NaN
69.918,NaN
70.418,NaN
70.918,NaN
71.418,NaN
71.918,NaN
72.418,NaN
72.918,NaN
73.418,NaN
73.918,NaN
74.418,NaN
74.918,NaN
75.418,NaN
75.918,NaN
# Event GROUND_HIT occurred at t=76.294 seconds
# Event SIMULATION_END occurred at t=76.294 seconds
76.294,NaN
